Nom.scientifique;Common.name;Nom.vernaculaire;Commentaire;Règne;Embranchement;Classe;Ordre;Famille;Genre;ID.WoRMS;ID.ITIS;Présent.Brunel.1998;Taxons.IML
Urticina crassicornis;;;attention aux confusions avec Urticina felina;Animalia;Cnidaria;Anthozoa;Actiniaria;Actiniidae;Urticina;100832;;;
Mytilus trossulus;Foolish Mussel;;attention aux confusions avec Mytilus edulis;Animalia;Mollusca;Bivalvia;Mytilida;Mytilidae;Mytilus;140482;;;
Eualus belcheri;;;en révision taxonomique;Animalia;Arthropoda;Malacostraca;Decapoda;Thoridae;Eualus;107502;;;
Hyas alutaceus;;;en révision taxonomique;Animalia;Arthropoda;Malacostraca;Decapoda;Oregoniidae;Hyas;442166;;;
Alcyonidium;;;plusieurs espèces nécessitent une confirmation;Animalia;Bryozoa;Gymnolaemata;Ctenostomatida;Alcyonidiidae;Alcyonidium;110993;;;
Gersemia;;;plusieurs espèces nécessitent une confirmation;Animalia;Cnidaria;Anthozoa;Alcyonacea;Nephtheidae;Gersemia;146953;;;
Iophon;;;plusieurs espèces nécessitent une confirmation;Animalia;Porifera;Demospongiae;Poecilosclerida;Acarnidae;Iophon;131863;;;
Nephtheidae;;;plusieurs espèces nécessitent une confirmation;Animalia;Cnidaria;Anthozoa;Alcyonacea;Nephtheidae;rank absent;146762;;;
Thyasira;;;plusieurs espèces nécessitent une confirmation;Animalia;Mollusca;Bivalvia;Lucinida;Thyasiridae;Thyasira;138552;;;
Botrylloides violaceus;Colonial Sea Squirt;Botrylle Violet;a confirmer invasif depuis eaux tropicales;Animalia;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Botrylloides;148715;;;
Eumicrotremus terraenovae;;;nouvelle espèce-historiquement mal identifiée dans la région;Animalia;Chordata;Actinopteri;Perciformes;Cyclopteridae;Eumicrotremus;159521;;;
Liparis bathyarcticus;;;nouvelle espèce-historiquement mal identifiée dans la région;Animalia;Chordata;Actinopteri;Perciformes;Liparidae;Liparis;867958;;;
Myxine limosa;;;nouvelle espèce-historiquement mal identifiée dans la région;Animalia;Chordata;Myxini;Myxiniformes;Myxinidae;Myxine;271309;;;
Polyipnus clarus;Slope Hatchetfish ;;nouvelle espèce-historiquement mal identifiée dans la région;Animalia;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Polyipnus;158840;;;
Rhodaliidae;;;nouvelle espèce-historiquement mal identifiée dans la région;Animalia;Cnidaria;Hydrozoa;Siphonophorae;Rhodaliidae;rank absent;135350;;;
Semisuberites cribrosa;Lacy Horny Sponge;Éponge Criblée;nouvelle espèce-historiquement mal identifiée dans la région;Animalia;Porifera;Demospongiae;Poecilosclerida;Esperiopsidae;Semisuberites;168379;;;
Boreotrophon truncatus;Bobtail Trophon;;besoin d une révision;Animalia;Mollusca;Gastropoda;Neogastropoda;Muricidae;Boreotrophon;146733;;;
Buccinum cyaneum;Bluish Whelk;;besoin d une révision;Animalia;Mollusca;Gastropoda;Neogastropoda;Buccinidae;Buccinum;138862;;;
Buccinum totteni;Thin Whelk;;besoin d une révision;Animalia;Mollusca;Gastropoda;Neogastropoda;Buccinidae;Buccinum;160137;;;
Colus islandicus;Iceland Whelk;;besoin d une révision;Animalia;Mollusca;Gastropoda;Neogastropoda;Buccinidae;Colus;138902;;;
Colus stimpsoni;Stimpson S Spindle Shell;;besoin d une révision;Animalia;Mollusca;Gastropoda;Neogastropoda;Buccinidae;Colus;160215;;;
Neptunea decemcostata;Wrinkle Whelk;Neptunée À Dix Côtes;besoin d une révision;Animalia;Mollusca;Gastropoda;Neogastropoda;Buccinidae;Neptunea;491164;;;
Neptunea despecta;Common Northern Neptune;Neptunée Commune Du Nord;besoin d une révision;Animalia;Mollusca;Gastropoda;Neogastropoda;Buccinidae;Neptunea;138923;;;
Epizoanthus erdmanni;Erdmann S Zoanthid;Zoanthaire De Erdmann;besoin d une confirmation d espèce;Animalia;Cnidaria;Anthozoa;Zoantharia;Epizoanthidae;Epizoanthus;101027;;;
Onchidiopsis;;;besoin d une confirmation d espèce;Animalia;Mollusca;Gastropoda;Littorinimorpha;Velutinidae;Onchidiopsis;138628;;;
Aldisa zetlandica;;;besoin d une confirmation de présence dans la région;Animalia;Mollusca;Gastropoda;Nudibranchia;Cadlinidae;Aldisa;138739;;;
Arctogadus glacialis;Polar Cod;Saïda Imberbe;besoin d une confirmation de présence dans la région;Animalia;Chordata;Actinopteri;Gadiformes;Gadidae;Arctogadus;126432;;;
Boreomysis nobilis;;;besoin d une confirmation de présence dans la région;Animalia;Arthropoda;Malacostraca;Mysida;Mysidae;Boreomysis;119969;;;
Careproctus longipinnis;Longfin Snailfish;Limace À Longues Nageoires;besoin d une confirmation de présence dans la région;Animalia;Chordata;Actinopteri;Perciformes;Liparidae;Careproctus;146774;;;
Careproctus ranula;Scotian Snailfish;Limace Acadienne;besoin d une confirmation de présence dans la région;Animalia;Chordata;Actinopteri;Perciformes;Liparidae;Careproctus;159523;;;
Dendronotus elegans;;;besoin d une confirmation de présence dans la région;Animalia;Mollusca;Gastropoda;Nudibranchia;Dendronotidae;Dendronotus;156710;;;
Doridoxa walteri;;;besoin d une confirmation de présence dans la région;Animalia;Mollusca;Gastropoda;Nudibranchia;Doridoxidae;Doridoxa;576389;;;
Ekmania barthii;Barth S Sea Cucumber;Holothurie De Barth;besoin d une confirmation de présence dans la région;Animalia;Echinodermata;Holothuroidea;Dendrochirotida;Cucumariidae;Ekmania;124681;;;
Elasipodida;;;besoin d une confirmation de présence dans la région;Animalia;Echinodermata;Holothuroidea;Elasipodida;rank absent;rank absent;123112;;;
Eudistoma vitreum;;;besoin d une confirmation de présence dans la région;Animalia;Chordata;Ascidiacea;Aplousobranchia;Polycitoridae;Eudistoma;103624;;;
Gaidropsarus argentatus;Silver Rockling;Mustèle Argentée;besoin d une confirmation de présence dans la région;Animalia;Chordata;Actinopteri;Gadiformes;Lotidae;Gaidropsarus;126451;;;
Gorgonocephalus eucnemis;;;besoin d une confirmation de présence dans la région;Animalia;Echinodermata;Ophiuroidea;Euryalida;Gorgonocephalidae;Gorgonocephalus;124969;;;
Hymenopenaeus debilis;;;besoin d une confirmation de présence dans la région;Animalia;Arthropoda;Malacostraca;Decapoda;Solenoceridae;Hymenopenaeus;107117;;;
Leptasterias groenlandica;;;besoin d une confirmation de présence dans la région;Animalia;Echinodermata;Asteroidea;Forcipulatida;Asteriidae;Leptasterias;369176;;;
Magnisudis atlantica;Duckbill Barracudina;Lussion À Bec De Canard ou Barracudine À  Grande Bouche ou Barracudine;besoin d une confirmation de présence dans la région;Animalia;Chordata;Actinopteri;Aulopiformes;Paralepididae;Magnisudis;126359;;;
Musculus glacialis;Corrugate Mussel;;besoin d une confirmation de présence dans la région;Animalia;Mollusca;Bivalvia;Mytilida;Mytilidae;Musculus;467467;;;
Pennatula phosphorea;Phosphorescent Sea Pen;Pennatule Phosphorescente;besoin d une confirmation de présence dans la région;Animalia;Cnidaria;Anthozoa;Pennatulacea;Pennatulidae;Pennatula;128517;;;
Plesionika martia;Golden Shrimp;Crevette Dorée (La);besoin d une confirmation de présence dans la région;Animalia;Arthropoda;Malacostraca;Decapoda;Pandalidae;Plesionika;107661;;;
Porcellidium;;;besoin d une confirmation de présence dans la région;Animalia;Arthropoda;Hexanauplia;Harpacticoida;Porcellidiidae;Porcellidium;115433;;;
